,clean_text,airline_sentiment
0,virginamerica dhepburn said,1
1,virginamerica plus added commercials experience tacky,2
2,virginamerica today must mean need take another trip,1
3,virginamerica really aggressive blast obnoxious entertainment guests faces amp little recourse,0
4,virginamerica really big bad thing,0
5,virginamerica seriously would pay flight seats playing really bad thing flying va,0
6,virginamerica yes nearly every time fly vx ear worm go away,2
7,virginamerica really missed prime opportunity men without hats parody https co mwpg grezp,1
8,virginamerica well,2
9,virginamerica amazing arrived hour early good,2
10,virginamerica know suicide second leading cause death among teens,1
11,virginamerica lt pretty graphics much better minimal iconography,2
12,virginamerica great deal already thinking nd trip australia amp even gone st trip yet p,2
13,virginamerica virginmedia flying fabulous seductive skies u take stress away travel http co ahlxhhkiyn,2
14,virginamerica thanks,2
15,virginamerica sfo pdx schedule still mia,0
16,virginamerica excited first cross country flight lax mco heard nothing great things virgin america daystogo,2
17,virginamerica flew nyc sfo last week fully sit seat due two large gentleman either side help,0
18,flying virginamerica,2
19,virginamerica know would amazingly awesome bos fll please want fly,2
20,virginamerica first fares may three times carriers seats available select,0
21,virginamerica love graphic http co ut grrwaaa,2
22,virginamerica love hipster innovation feel good brand,2
23,virginamerica making bos gt las non stop permanently anytime soon,1
24,virginamerica guys messed seating reserved seating friends guys gave seat away want free internet,0
25,virginamerica status match program applied three weeks called emailed response,0
26,virginamerica happened ur vegan food options least say ur site know able eat anything next hrs fail,0
27,virginamerica miss worry together soon,1
28,virginamerica amazing get cold air vents vx noair worstflightever roasted sfotobos,0
29,virginamerica lax ewr middle seat red eye noob maneuver sendambien andchexmix,1
30,virginamerica hi bked cool birthday trip add elevate cause entered middle name flight booking problems,0
31,virginamerica hours operation club sfo posted online current,1
32,virginamerica help left expensive headphones flight iad lax today seat one answering l amp f number lax,0
33,virginamerica awaiting return phone call would prefer use online self service option,0
34,virginamerica great news america could start flights hawaii end year http co r p zy fe via pacificbiznews,2
35,nice rt virginamerica vibe moodlight takeoff touchdown moodlitmonday sciencebehindtheexperience http co unxtqp,1
36,virginamerica moodlighting way fly best experience ever cool calming moodlitmonday,2
37,virginamerica freddieawards done done best airline around hands,2
38,virginamerica book flight hawaii,1
39,virginamerica chat support working site http co vhp gtdwpk,0
40,virginamerica view downtown los angeles hollywood sign beyond rain mountains http co dw nf ibtr,2
41,virginamerica hey first time flyer next week excited hard time getting flights added elevate account help,0
42,virginamerica plz help win bid upgrade flight lax gt sea,1
